"Data Import Template"
"Table:","Property Setter"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Property Setter","","","","","","",""
"Column Labels:","ID","DocType or Field","DocType","Property","Set Value","Field Name","Property Type","Default Value"
"Column Name:","name","doctype_or_field","doc_type","property","value","field_name","property_type","default_value"
"Mandatory:","Yes","Yes","Yes","Yes","No","No","No","No"
"Type:","Data (text)","Select","Link","Data","Text","Data","Data","Data"
"Info:","","One of: DocField, DocType","Valid DocType","","","","",""
"Start entering data below this line"
"","""Serial No-gift_voucher_amount-previous_field""","DocField","Serial No","previous_field","serial_no","gift_voucher_amount","Data",""
"","""Company-gift_voucher_account-previous_field""","DocField","Company","previous_field","default_income_account","gift_voucher_account","Data",""
"","""Item-naming_series-idx""","DocField","Item","idx","118","naming_series","Int",""
"","""Item-column_break0-idx""","DocField","Item","idx","117","column_break0","Int",""
"","""Item-parent_website_route-idx""","DocField","Item","idx","115","parent_website_route","Int",""
"","""Item-web_long_description-idx""","DocField","Item","idx","114","web_long_description","Int",""
"","""Item-item_website_specifications-idx""","DocField","Item","idx","113","item_website_specifications","Int",""
"","""Item-copy_from_item_group-idx""","DocField","Item","idx","112","copy_from_item_group","Int",""
"","""Item-sb72-idx""","DocField","Item","idx","111","sb72","Int",""
"","""Item-website_item_groups-idx""","DocField","Item","idx","110","website_item_groups","Int",""
"","""Item-website_warehouse-idx""","DocField","Item","idx","109","website_warehouse","Int",""
"","""Item-cb72-idx""","DocField","Item","idx","108","cb72","Int",""
"","""Item-website_image-idx""","DocField","Item","idx","107","website_image","Int",""
"","""Item-slideshow-idx""","DocField","Item","idx","106","slideshow","Int",""
"","""Item-weightage-idx""","DocField","Item","idx","105","weightage","Int",""
"","""Item-page_name-idx""","DocField","Item","idx","104","page_name","Int",""
"","""Item-show_in_website-idx""","DocField","Item","idx","103","show_in_website","Int",""
"","""Item-website_section-idx""","DocField","Item","idx","102","website_section","Int",""
"","""Item-customer_code-idx""","DocField","Item","idx","101","customer_code","Int",""
"","""Item-is_sub_contracted_item-idx""","DocField","Item","idx","100","is_sub_contracted_item","Int",""
"","""Item-is_pro_applicable-idx""","DocField","Item","idx","99","is_pro_applicable","Int",""
"","""Item-default_bom-idx""","DocField","Item","idx","98","default_bom","Int",""
"","""Item-is_manufactured_item-idx""","DocField","Item","idx","97","is_manufactured_item","Int",""
"","""Item-manufacturing-idx""","DocField","Item","idx","96","manufacturing","Int",""
"","""Item-item_specification_details-idx""","DocField","Item","idx","95","item_specification_details","Int",""
"","""Item-inspection_required-idx""","DocField","Item","idx","94","inspection_required","Int",""
"","""Item-inspection_criteria-idx""","DocField","Item","idx","93","inspection_criteria","Int",""
"","""Item-item_tax-idx""","DocField","Item","idx","92","item_tax","Int",""
"","""Item-item_tax_section_break-idx""","DocField","Item","idx","91","item_tax_section_break","Int",""
"","""Item-item_customer_details-idx""","DocField","Item","idx","90","item_customer_details","Int",""
"","""Item-column_break3-idx""","DocField","Item","idx","89","column_break3","Int",""
